URL,Total External Links,Total Internal Links,Total Appearence on Other Page
http://www.kompas.com/tren/read/2025/01/06/140000265/australia-ancam-10-tahun-penjara-perusahaan-yang-beri-gaji-di-bawah-umr,265,121,1
https://www.kompas.com/hype/read/2025/02/16/133728566/selamat-mahalini-melahirkan-anak-pertama,264,114,1
http://www.kompas.com/konsultasihukum/read/2024/12/23/090000980/saatnya-imunitas-advokat-bagi-konselor-internal-perusahaan,266,119,2
https://www.kompas.com/properti/read/2025/02/16/123000121/siap-siap-tarif-tol-tangerang-merak-bakal-naik-ini-rinciannya?source=sorotan,269,124,1
https://www.kompas.com/cekfakta/data-dan-fakta,238,64,2
https://www.kompas.com/cekfakta/read/2025/02/14/164530982/hoaks-china-ganti-nama-jalan-di-indonesia,271,115,2
https://www.kompas.com/cekfakta/read/2025/02/14/110100582/-hoaks-poster-waspada-penculikan-anak-dari-polda-sumbar,270,109,1
http://www.kompas.com/global/read/2025/01/02/182500270/scott-rush-anggota-bali-nine-terhindar-dari-hukuman-tambahan-di-australia,291,92,1
https://www.kompas.com/food/gallery,245,75,12
https://www.kompas.com/parapuan?source=navbar,242,132,11
https://www.kompas.com/tag/risiko-penyakit-sesuai-golongan-darah?source=home,235,41,1
https://www.kompas.com/tren/read/2025/02/16/074225965/kabur-aja-dulu-krisis-struktural-atau-peluang-diaspora,268,115,1
http://www.kompas.com/konsultasihukum/read/2025/02/13/060251780/kaki-advokat-naik-meja-sidang-awal-runtuhnya-wibawa-peradilan,267,116,2
https://www.kompas.com/konsultasihukum/author/7505/,0,0,1
https://www.kompas.com/feedback,232,37,46
https://www.kompas.com/badminton,249,77,19
https://www.kompas.com/food/food-story,245,95,12
https://www.kompas.com/global/read/2025/02/16/110700370/lebanon-blokir-pesawat-iran-yang-hendak-mendarat-di-beirut-ini-alasannya,295,93,2
https://www.kompas.com/cekfakta/read/2025/02/13/153000482/infografik--hoaks-air-kemasan-botol-mengandung-formalin-simak,262,109,1
https://www.kompas.com/global/read/2025/02/15/142520770/rayakan-ulang-tahun-ke-104-wanita-ini-pilih-ke-penjara,293,83,2
https://www.kompas.com/sports,250,94,18
https://www.kompas.com/cekfakta/read/2025/02/14/175800882/30-februari-tidak-ada-di-kalender-kecuali-di-swedia,264,115,2
https://www.kompas.com/hype/read/2025/02/16/135549366/mahalini-melahirkan-ini-nama-anak-perempuan-rizky-febian,265,118,1
https://www.kompas.com/global/read/2025/02/15/125946470/as-akan-jual-jet-tempur-f-35-ke-india-china-asia-pasifik-bukan-arena,296,88,1
https://www.kompas.com/food/panduan-kuliner-yogyakarta,237,97,12
https://www.kompas.com/skola,244,70,11
https://www.kompas.com/sains?source=navbar,236,121,10
https://www.kompas.com/tag/hasto-kristiyanto?source=trending,253,48,1
https://www.kompas.com/tag/ikn?source=trending,259,42,1
https://www.kompas.com/global/read/2025/02/16/071700370/tak-ada-jaminan-keamanan-presiden-ukraina-tolak-kesepakatan-trump-terkait,302,88,3
https://www.kompas.com/cekfakta/read/2025/02/12/132200982/duduk-perkara-pembekuan-dana-usaid-dan-misinformasi-yang-beredar-,265,119,1
https://www.kompas.com/tag/kejaksaan-tinggi-ntb?source=home,249,37,1
https://www.kompas.com/hype/read/2025/02/16/115102566/ashley-st-clair-mengaku-melahirkan-anak-ke-13-elon-musk-5-bulan-lalu?source=sorotan,266,116,1
https://www.kompas.com/cekfakta/read/2025/02/14/084500782/-hoaks-tautan-pendaftaran-penerima-elpiji-subsidi-3-kg,262,110,1
https://www.kompas.com/edu/read/2025/02/16/134312671/kapan-terakhir-finalisasi-snbp-2025,267,125,1
